#{"t_start": 1766258973.9258404, "env_id": "None"}
r,l,t
47.643707,36,169.620807
18.766037,9,169.664017
31.94249,9,169.664443
7.437134,9,169.664734
5.8157554,9,169.665002
118.63669,9,169.665335
-4.200529,24,169.833868
62.33823,24,169.834348
122.46758,24,169.834677
123.49568,24,169.834992
5.6305466,24,169.835384
23.248415,19,169.913334
120.981995,19,169.913869
95.66204,19,169.914229
16.724865,19,169.914543
-542.63135,19,169.914796
189.96161,50,169.964544
13.832367,50,169.96507
126.707535,50,169.965379
-16.074436,50,169.965628
-818.88226,50,169.965876
11.976292,48,169.998813
195.07167,48,169.999344
167.88997,48,169.999666
160.81071,48,169.999907
-145.8158,48,170.000133
-9.0324335,30,170.042595
38.000175,30,170.043167
37.709072,30,170.043479
77.447296,30,170.043728
-326.11966,30,170.044052
2.6947086,5,170.125656
111.659386,5,170.126065
10.198772,5,170.126353
4.5132275,5,170.126573
-109.792496,5,170.126861
23.028704,11,170.14519
-10.427334,11,170.145753
11.192516,11,170.146159
-10.95274,11,170.146535
131.52411,11,170.14684
139.68643,24,170.217534
75.91125,24,170.218066
37.19405,24,170.218408
53.19428,24,170.218681
4.349073,24,170.218908
